,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
1163,chr17,6531939,6543776,ENSG00000282936.2_9,AC004706.3,chr17,7461609,7464925,ENSG00000161955.16_6,TNFSF13,0.0060240963855421,0.0059405940594059,0.0125,0.0,0.0,0.0,0.0,0.5336927223719676,0.0097087378640776,0.0144927536231884,0.2211538461538461,0.0018001800180018,0.0424710424710424,0.0381778741865509,0.0,0.029126213592233,0.0137931034482758,0.0125,0.0,0.0,0.0,0.0388349514563106,0.0259740259740259,0.0092421441774491,0.0,0.0586206896551724,0.0258964143426294,0.0019960079840319,0.0815217391304347,0.0632911392405063,0.0066225165562913,0.0,0.0
1165,chr17,6546631,6554954,ENSG00000108590.11_6,MED31,chr17,7461609,7464925,ENSG00000161955.16_6,TNFSF13,0.0120481927710843,0.0059405940594059,0.0125,0.0,0.0,0.0,0.004750593824228,0.5175202156334232,0.0242718446601941,0.0108695652173913,0.3673076923076923,0.0108010801080108,0.027027027027027,0.0494577006507592,0.0,0.058252427184466,0.0172413793103448,0.0208333333333333,0.0056179775280898,0.0111731843575419,0.0,0.0194174757281553,0.0519480519480519,0.0240295748613678,0.0114942528735632,0.1103448275862069,0.0398406374501992,0.0019960079840319,0.1358695652173913,0.0886075949367088,0.0132450331125827,0.0066666666666666,0.0606060606060606
1166,chr17,6555082,6596521,ENSG00000256806.6_6,C17orf100,chr17,7461609,7464925,ENSG00000161955.16_6,TNFSF13,0.0421686746987951,0.0079207920792079,0.0,0.0083333333333333,0.0,0.0175438596491228,0.007125890736342,0.6657681940700808,0.1067961165048543,0.0326086956521739,0.4884615384615384,0.0756075607560756,0.0038610038610038,0.0741865509761388,0.0416666666666666,0.1262135922330097,0.0448275862068965,0.1229166666666666,0.0056179775280898,0.0111731843575419,0.001937984496124,0.0194174757281553,0.059369202226345,0.0462107208872458,0.0689655172413793,0.1793103448275862,0.0557768924302788,0.0079840319361277,0.266304347826087,0.1518987341772152,0.1324503311258278,0.2666666666666666,0.1515151515151515
1169,chr17,6588038,6616696,ENSG00000141485.17_8,SLC13A5,chr17,7461609,7464925,ENSG00000161955.16_6,TNFSF13,0.0180722891566265,0.0118811881188118,0.0125,0.0083333333333333,0.0,0.0175438596491228,0.004750593824228,0.7115902964959568,0.0339805825242718,0.0289855072463768,0.2365384615384615,0.0117011701170117,0.0308880308880308,0.0585683297180043,0.0,0.0461165048543689,0.2689655172413793,0.05,0.0280898876404494,0.0614525139664804,0.0155038759689922,0.0097087378640776,0.0111317254174397,0.0480591497227356,0.0,0.0689655172413793,0.0239043824701195,0.0099800399201596,0.2065217391304347,0.189873417721519,0.0662251655629139,0.1066666666666666,0.0454545454545454
1193,chr17,7044249,7044911,ENSG00000213876.4_4,RPL7AP64,chr17,7461609,7464925,ENSG00000161955.16_6,TNFSF13,0.0,0.0039603960396039,0.0,0.0,0.0253164556962025,0.0,0.002375296912114,0.5471698113207547,0.0339805825242718,0.0090579710144927,0.0519230769230769,0.0072007200720072,0.0077220077220077,0.1331887201735357,0.0416666666666666,0.0169902912621359,0.0137931034482758,0.00625,0.0112359550561797,0.0,0.005813953488372,0.0097087378640776,0.0946196660482374,0.0277264325323475,0.0,0.0206896551724137,0.0637450199203187,0.0019960079840319,0.0760869565217391,0.0,0.23841059602649,0.06,0.0
1216,chr17,7233771,7238732,ENSG00000224647.2_7,AC026954.1,chr17,7461609,7464925,ENSG00000161955.16_6,TNFSF13,0.0481927710843373,0.0158415841584158,0.0125,0.2583333333333333,0.0126582278481012,0.0526315789473684,0.0570071258907363,0.5876010781671159,0.1553398058252427,0.0688405797101449,0.3365384615384615,0.0531053105310531,0.0849420849420849,0.1193058568329718,0.1875,0.0995145631067961,0.0862068965517241,0.1083333333333333,0.0337078651685393,0.1843575418994413,0.001937984496124,0.0194174757281553,0.046382189239332,0.0924214417744916,0.0114942528735632,0.0862068965517241,0.1195219123505976,0.0219560878243512,0.3695652173913043,0.4177215189873418,0.1788079470198675,0.4066666666666667,0.0757575757575757
1222,chr17,7293046,7298161,ENSG00000187838.17_9,PLSCR3,chr17,7461609,7464925,ENSG00000161955.16_6,TNFSF13,0.0120481927710843,0.0059405940594059,0.2625,0.2083333333333333,0.4430379746835443,0.087719298245614,0.009501187648456,0.6765498652291105,0.0461165048543689,0.0181159420289855,0.0634615384615384,0.0117011701170117,0.2162162162162162,0.0811279826464208,0.3125,0.0412621359223301,0.0275862068965517,0.0479166666666666,0.0280898876404494,0.3519553072625698,0.4496124031007752,0.1650485436893204,0.0296846011131725,0.0720887245841035,0.0919540229885057,0.0241379310344827,0.0099601593625498,0.0059880239520958,0.0652173913043478,0.2151898734177215,0.152317880794702,0.4933333333333333,0.1515151515151515
2982,chr1,15898194,15911546,ENSG00000116771,AGMAT,chr1,17345217,17380527,ENSG00000117118,SDHB,0.1746987951807229,0.0118811881188118,0.0625,0.025,0.0126582278481012,0.0350877192982456,0.004750593824228,0.8733153638814016,0.0655339805825242,0.0144927536231884,0.0115384615384615,0.0477047704770477,0.0772200772200772,0.4195227765726681,0.3125,0.0145631067961165,0.1689655172413793,0.1875,0.0393258426966292,0.0782122905027933,0.001937984496124,0.029126213592233,0.0092764378478664,0.3604436229205175,0.0,0.0172413793103448,0.0079681274900398,0.0099800399201596,0.0108695652173913,0.0759493670886076,0.2516556291390728,0.0733333333333333,0.0454545454545454
3935,chr1,150240600,150253327,ENSG00000118292,C1orf54,chr1,150933059,150947479,ENSG00000143418,CERS2,0.0903614457831325,0.2554455445544554,0.0375,0.0,0.0063291139240506,0.0,0.0356294536817102,0.6415094339622641,0.1092233009708737,0.0108695652173913,0.0096153846153846,0.4914491449144914,0.0193050193050193,0.2737527114967462,0.0,0.1383495145631068,0.3655172413793103,0.05625,0.0898876404494382,0.0055865921787709,0.0077519379844961,0.116504854368932,0.1781076066790352,0.4029574861367837,0.1034482758620689,0.0310344827586206,0.0358565737051792,0.0279441117764471,0.0326086956521739,0.2911392405063291,0.0132450331125827,0.0066666666666666,0.0303030303030303
5248,chr1,168148200,168171347,ENSG00000143155,TIPRL,chr1,167885913,167906310,ENSG00000143158,MPC2,0.3373493975903614,0.0198019801980198,0.0,0.1166666666666666,0.3924050632911392,0.0350877192982456,0.0451306413301662,0.908355795148248,0.3252427184466019,0.1032608695652173,0.0673076923076923,0.1431143114311431,0.054054054054054,0.1731019522776572,0.1875,0.1286407766990291,0.1862068965517241,0.3041666666666666,0.0393258426966292,0.3072625698324022,0.067829457364341,0.0,0.085343228200371,0.4935304990757855,0.0,0.0551724137931034,0.2828685258964143,0.1157684630738523,0.1521739130434782,0.2531645569620253,0.0397350993377483,0.1466666666666666,0.0454545454545454
